nome_municipio,sigla_uf,taxa_ano_anterior,meta_alfabetizacao,risco_%
Alcântara,MA,73.46,74.47,30.1
Caraí,MG,52.38,48.07,30.0
Japaratuba,SE,42.14,48.16,30.0
Monte Carmelo,MG,70.23,66.33,30.0
Mucugê,BA,41.65,47.73,30.0
Itamarandiba,MG,67.93,62.57,30.0
São João do Paraíso,MG,70.47,71.98,29.9
Lajedo do Tabocal,BA,55.06,59.2,29.9
Ipumirim,SC,53.96,58.28,29.9
Coronel João Sá,BA,28.7,35.85,29.9
Corbélia,PR,74.62,75.44,29.9
Santa Efigênia de Minas,MG,43.34,49.21,29.8
Lagoa dos Patos,MG,41.04,47.19,29.8
Nova União,RO,60.65,63.85,29.8
Santo Antônio do Amparo,MG,83.75,80.0,29.8
Ibaretama,CE,70.3,71.84,29.8
Itutinga,MG,51.36,56.09,29.8
Miranda,MS,26.61,33.82,29.7
São Raimundo do Doca Bezerra,MA,56.29,60.22,29.7
Alvarenga,MG,59.37,45.84,29.7
São Gonçalo do Amarante,RN,51.1,56.91,29.7
Luzilândia,PI,51.73,56.4,29.7
Água Nova,RN,33.29,40.19,29.6
Ervália,MG,54.48,58.71,29.6
Juiz de Fora,MG,48.29,49.46,29.6
Santo André,PB,45.13,50.76,29.6
Baependi,MG,70.29,71.83,29.6
Itaobim,MG,52.5,54.67,29.6
Araputanga,MT,48.48,53.64,29.6
Matozinhos,MG,47.4,52.79,29.6
Ouro Verde de Minas,MG,51.25,55.99,29.6
Nova Bandeirantes,MT,73.3,74.34,29.6
Quijingue,BA,38.46,44.9,29.6
Canabrava do Norte,MT,34.68,41.47,29.5
Matinhos,PR,70.38,71.91,29.5
Cedral,MA,69.8,71.43,29.5
Cachoeira da Prata,MG,52.4,56.96,29.5
Barbalha,CE,85.38,80.0,29.5
Ouro Branco,RN,40.66,46.85,29.5
Esmeraldas,MG,51.06,55.55,29.5
São João do Carú,MA,65.17,67.59,29.5
Tanquinho,BA,18.93,25.95,29.5
Urutaí,GO,78.1,78.38,29.4
São José da Lagoa Tapada,PB,85.74,80.0,29.4
Boninal,BA,45.05,50.69,29.4
Itajubá,MG,59.76,63.11,29.4
Cristianópolis,GO,88.62,80.0,29.4
Visconde do Rio Branco,MG,59.69,60.26,29.4
Estação,RS,73.44,74.46,29.4
Santa Rita de Minas,MG,61.31,64.4,29.4
Ribeira do Amparo,BA,28.72,35.87,29.3
Oeiras,PI,65.92,68.21,29.3
São Gabriel da Cachoeira,AM,46.7,43.12,29.3
Itaporanga d'Ajuda,SE,24.31,31.53,29.3
Arroio Trinta,SC,92.0,80.0,29.3
Itaitinga,CE,85.82,80.0,29.3
Dores de Campos,MG,54.67,58.87,29.3
Pedralva,MG,50.09,55.01,29.3
Paranatinga,MT,44.67,50.99,29.3
Areia de Baraúnas,PB,25.0,32.22,29.3
Murici dos Portelas,PI,66.93,69.05,29.3
Eliseu Martins,PI,82.88,80.0,29.3
Acarape,CE,78.14,78.41,29.2
Mariana,MG,55.06,58.12,29.2
Ouro Velho,PB,89.76,80.0,29.2
Inajá,PR,73.73,74.7,29.1
Pilar,AL,37.59,44.11,29.1
Cerro Negro,SC,28.93,36.07,29.1
Claraval,MG,74.97,75.74,29.1
Anicuns,GO,92.26,80.0,29.1
Júlio Borges,PI,43.29,49.16,29.1
Nova Lacerda,MT,55.17,59.29,29.0
Olho d'Água,PB,76.11,66.76,29.0
Itatiba do Sul,RS,86.76,80.0,29.0
Pacajá,PA,37.32,43.87,29.0
Estreito,MA,54.89,59.05,29.0
Ingá,PB,57.31,61.08,29.0
Sirinhaém,PE,60.3,63.56,29.0
Couto Magalhães,TO,48.18,53.39,29.0
Combinado,TO,62.09,65.04,29.0
Monsenhor Gil,PI,60.33,63.58,28.9
Chapada,RS,75.31,76.02,28.9
Santa Cruz do Rio Pardo,SP,52.96,57.25,28.9
Mulungu,PB,56.27,60.21,28.9
Belágua,MA,61.12,64.24,28.9
Jandaia do Sul,PR,76.99,77.44,28.8
Colorado do Oeste,RO,62.85,65.67,28.8
Quebrangulo,AL,57.48,61.22,28.8
Elói Mendes,MG,57.91,61.57,28.8
Caratinga,MG,50.26,55.16,28.8
Tabira,PE,72.93,74.03,28.8
Paraíso do Tocantins,TO,60.56,63.78,28.8
Gavião,BA,60.47,63.7,28.7
São Valentim,RS,91.76,80.0,28.7
Novo Horizonte,BA,60.58,63.79,28.7
Miravânia,MG,44.91,46.9,28.7
Canoinhas,SC,75.63,74.87,28.7
Varjão de Minas,MG,57.22,61.0,28.7
Foz do Iguaçu,PR,73.01,74.1,28.7
Cajazeiras,PB,53.45,56.36,28.6
Ituporanga,SC,69.95,66.76,28.6
Chapada do Norte,MG,41.12,47.26,28.6
Agudo,RS,59.49,60.08,28.6
Jaboticatubas,MG,69.36,71.06,28.6
União dos Palmares,AL,89.35,80.0,28.6
Rio Brilhante,MS,40.18,46.43,28.6
Monte Formoso,MG,49.86,54.82,28.5
Lavras,MG,58.0,60.18,28.5
Espinosa,MG,77.62,66.83,28.5
Monte Alegre de Sergipe,SE,29.63,31.99,28.5
Monte Alegre,PA,53.95,58.27,28.5
Caçapava do Sul,RS,60.31,58.95,28.4
São José de Ribamar,MA,62.27,65.19,28.4
Alvinópolis,MG,48.49,54.12,28.4
Mogeiro,PB,73.21,74.26,28.4
São José do Divino,MG,58.5,50.96,28.4
Pocinhos,PB,42.15,48.17,28.4
Parambu,CE,83.15,80.0,28.4
Paulista,PE,51.54,55.98,28.4
Carutapera,MA,55.58,59.63,28.3
Itabira,MG,57.13,60.96,28.3
Cumaru do Norte,PA,50.13,55.05,28.3
Roque Gonzales,RS,75.71,76.36,28.3
Ponte Nova,MG,49.77,57.17,28.3
Abadia de Goiás,GO,59.84,63.18,28.3
Romaria,MG,57.73,61.43,28.3
Carmo de Minas,MG,61.19,60.43,28.3
Castelo do Piauí,PI,75.09,75.84,28.2
São José do Rio Claro,MT,73.17,74.23,28.2
Águas Belas,PE,57.56,61.28,28.2
São José do Alegre,MG,77.36,77.75,28.2
Barrocas,BA,42.08,48.11,28.2
Ninheira,MG,49.26,54.31,28.2
Castanheira,MT,63.1,65.88,28.2
Aral Moreira,MS,73.91,74.85,28.2
Cacoal,RO,63.37,65.39,28.1
Pau D'Arco,PA,50.65,55.49,28.1
Medina,MG,71.99,71.82,28.1
Santa Tereza do Oeste,PR,73.31,74.35,28.1
Ministro Andreazza,RO,72.5,73.67,28.1
Lagoa da Canoa,AL,45.57,51.14,28.1
Alto Horizonte,GO,66.64,68.81,28.1
Carrasco Bonito,TO,34.09,40.93,28.1
Vera Cruz do Oeste,PR,52.37,56.94,28.1
Ceres,GO,88.1,80.0,28.0
Deodápolis,MS,95.9,80.0,28.0
Munhoz,MG,77.93,78.23,28.0
Santo Antônio de Pádua,RJ,66.37,68.58,28.0
Aricanduva,MG,52.49,60.38,28.0
Santa Cruz de Goiás,GO,72.59,73.75,27.9
Rio Real,BA,40.97,47.13,27.9
Brasília de Minas,MG,74.46,75.81,27.9
Maracanaú,CE,82.5,80.0,27.9
Botelhos,MG,71.52,67.86,27.9
Belo Horizonte,MG,60.07,61.33,27.9
Mirante,BA,52.17,56.77,27.8
Juquitiba,SP,69.27,63.43,27.8
Itaú,RN,54.71,57.42,27.8
Veredinha,MG,62.13,65.08,27.8
Alagoa,MG,67.0,69.11,27.8
São José da Varginha,MG,55.14,59.26,27.7
Coronel João Pessoa,RN,23.86,31.08,27.7
Conceição do Rio Verde,MG,89.94,80.0,27.7
Governador Valadares,MG,58.73,56.68,27.7
Raposos,MG,48.4,53.57,27.7
Crisólita,MG,52.99,57.46,27.6
Caetés,PE,45.78,51.32,27.6
Desterro do Melo,MG,68.18,70.08,27.6
Nova Olinda do Maranhão,MA,57.16,60.95,27.6
Mococa,SP,52.99,51.87,27.6
Bela Vista do Maranhão,MA,51.82,56.48,27.6
Agrestina,PE,71.71,73.01,27.6
Pinhal,RS,56.45,60.36,27.5
Itamonte,MG,57.59,61.31,27.5
Craíbas,AL,45.7,51.26,27.5
Santa Isabel do Rio Negro,AM,30.62,33.91,27.5
Espírito Santo do Dourado,MG,66.49,68.68,27.5
Taipas do Tocantins,TO,55.85,59.86,27.5
Sete Lagoas,MG,57.58,57.97,27.5
São Raimundo das Mangabeiras,MA,71.02,72.44,27.4
Terra Boa,PR,85.98,80.0,27.4
Campo Largo,PR,73.34,74.37,27.4
Novo Mundo,MT,53.62,57.99,27.4
Curralinho,PA,25.06,32.28,27.4
Fernando Falcão,MA,29.89,36.99,27.3
Anajatuba,MA,72.8,73.92,27.3
Jati,CE,74.37,75.23,27.3
Queimadas,BA,27.35,34.54,27.3
Cabrobó,PE,68.25,70.14,27.3
Corumbá,MS,41.52,47.61,27.3
Serra Nova Dourada,MT,65.34,67.73,27.3
Barra dos Coqueiros,SE,24.92,29.32,27.2
Camacho,MG,91.3,80.0,27.2
Novo Jardim,TO,22.32,29.51,27.2
Condado,PB,56.24,60.18,27.2
Coronel Murta,MG,65.72,68.05,27.1
Mathias Lobato,MG,51.56,56.26,27.1
Aparecida do Rio Doce,GO,59.59,62.97,27.1
Itaguaçu,ES,74.64,74.88,27.1
Conselheiro Mairinck,PR,51.52,56.22,27.1
Itamogi,MG,61.13,64.25,27.1
Piranguinho,MG,69.35,71.05,27.1
Formosa do Oeste,PR,88.15,80.0,27.0
Xexéu,PE,62.65,65.51,27.0
Paraíso do Norte,PR,74.89,75.67,27.0
Nova Iguaçu de Goiás,GO,92.68,80.0,27.0
Vitorino Freire,MA,51.04,55.82,27.0
Alegrete do Piauí,PI,53.89,58.22,27.0
Jaú do Tocantins,TO,61.09,64.21,27.0
São José do Norte,RS,57.28,58.23,27.0
Mãe d'Água,PB,70.0,71.59,26.9
Santana do Garambéu,MG,47.32,52.65,26.9
Ivaiporã,PR,66.58,68.76,26.9
Inhangapi,PA,21.83,29.0,26.9
Teodoro Sampaio,SP,70.86,68.95,26.9
Presidente Sarney,MA,62.8,65.63,26.9
Carlos Gomes,RS,54.55,58.77,26.9
Jeremoabo,BA,27.04,34.24,26.9
Itaúba,MT,57.99,61.64,26.9
Diamantina,MG,59.25,62.93,26.9
Bom Progresso,RS,56.25,60.19,26.8
Cafarnaum,BA,21.63,28.79,26.8
Morros,MA,94.83,80.0,26.8
Silvanópolis,TO,34.74,41.52,26.8
Frutal,MG,53.92,58.24,26.8
Silveira Martins,RS,66.67,68.83,26.7
Nova Palmeira,PB,59.43,62.84,26.7
Sobrado,PB,60.0,63.31,26.7
Querência do Norte,PR,45.28,50.89,26.7
Santa Inês,BA,47.34,52.67,26.7
Dom Cavati,MG,74.74,75.54,26.7
Paranaíta,MT,60.69,63.88,26.7
Terra Nova do Norte,MT,58.72,62.25,26.7
São Sebastião do Paraíso,MG,65.48,67.85,26.7
São Luis do Piauí,PI,58.51,62.07,26.7
Ingaí,MG,52.26,56.85,26.6
Jardim do Seridó,RN,33.88,33.95,26.6
Itaguaí,RJ,42.05,48.08,26.6
Itumirim,MG,61.21,62.66,26.6
Itaporã do Tocantins,TO,64.16,66.76,26.5
Cacimba de Areia,PB,63.89,66.53,26.5
Japoatã,SE,26.06,33.27,26.5
Laurentino,SC,64.28,66.86,26.5
Fortaleza dos Nogueiras,MA,45.09,50.73,26.4
Caçu,GO,73.23,74.28,26.4
São Jorge do Patrocínio,PR,74.33,75.2,26.4
São Bento,MA,93.75,80.0,26.4
Carmo do Cajuru,MG,67.21,69.28,26.4
Santa Isabel,GO,79.49,79.56,26.4
Cristais,MG,67.27,69.33,26.4
Pains,MG,67.53,69.54,26.4
Sertão,RS,70.1,63.15,26.4
Uirapuru,GO,38.84,45.24,26.3
Nossa Senhora dos Remédios,PI,64.19,66.78,26.3
Careaçu,MG,97.42,80.0,26.3
Jaraguari,MS,38.46,44.9,26.3
Francisco Morato,SP,51.74,55.48,26.3
Nova Colinas,MA,85.65,80.0,26.3
Boa Vista do Sul,RS,73.33,74.36,26.3
Prata,PB,47.46,52.77,26.2
Urandi,BA,59.24,62.68,26.2
Juruena,MT,59.71,63.07,26.2
São João da Ponte,MG,65.62,67.96,26.2
Mauá,SP,63.79,51.29,26.2
Colatina,ES,74.65,74.72,26.2
Leopoldina,MG,57.05,62.21,26.2
Miranda do Norte,MA,55.15,59.27,26.1
Virgínia,MG,57.94,61.6,26.1
Santa Rita do Sapucaí,MG,58.99,54.67,26.1
Nobres,MT,61.79,60.77,26.1
Morro da Garça,MG,96.43,80.0,26.1
Tapurah,MT,55.92,59.92,26.1
Santa Vitória,MG,69.77,72.24,26.1
Flores do Piauí,PI,46.83,52.23,26.0
Panelas,PE,76.82,77.3,26.0
Belo Oriente,MG,57.1,60.9,26.0
Tomar do Geru,SE,42.86,48.79,26.0
Confins,MG,52.52,57.07,26.0
Araçu,GO,77.27,77.68,26.0
Novo Triunfo,BA,21.75,28.92,26.0
Ouro Preto,MG,64.92,59.55,25.9
Novo Santo Antônio,PI,48.49,53.65,25.9
Pedra,PE,47.04,52.41,25.9
Rubelita,MG,100.0,80.0,25.8
São Luís,MA,47.83,52.79,25.8
Joaquim Felício,MG,52.38,56.95,25.8
Serrinha,RN,56.19,60.14,25.7
Seritinga,MG,64.0,66.62,25.7
Chapadão do Sul,MS,43.31,49.18,25.7
Socorro,SP,51.49,55.63,25.7
Areial,PB,92.86,80.0,25.7
Alterosa,MG,61.55,64.6,25.7
Presidente Epitácio,SP,65.73,53.56,25.7
Cordislândia,MG,47.14,52.49,25.7
São Brás do Suaçuí,MG,68.37,70.24,25.6
Pirenópolis,GO,72.91,74.01,25.6
Caucaia,CE,66.84,69.14,25.5
Aparecida,PB,42.5,48.47,25.5
Rosário do Sul,RS,53.58,41.94,25.5
Itatim,BA,51.6,56.29,25.5
Urucânia,MG,47.49,59.62,25.5
Araras,SP,60.24,61.73,25.5
Boqueirão do Piauí,PI,96.48,80.0,25.4
Ipueiras,TO,27.27,34.46,25.4
Francisco Dumont,MG,31.48,38.49,25.3
São José do Xingu,MT,51.3,56.04,25.3
Santa Rosa do Piauí,PI,61.02,64.16,25.3
São João da Lagoa,MG,49.97,54.91,25.3
Umbaúba,SE,25.4,32.62,25.3
Palma,MG,26.99,34.19,25.3
São Félix do Piauí,PI,35.56,42.27,25.2
Borborema,SP,82.47,80.0,25.2
Serra dos Aimorés,MG,58.13,56.46,25.2
Malhada,BA,25.23,32.45,25.2
Vista Gaúcha,RS,74.26,75.14,25.2
Araguaína,TO,35.44,42.16,25.2
João Monlevade,MG,67.06,64.07,25.1
Tabuleiro do Norte,CE,88.99,80.0,25.1
Serra Alta,SC,92.21,80.0,25.1
Pavão,MG,85.08,80.0,25.1
Coronel Ezequiel,RN,40.66,46.85,25.1
Dianópolis,TO,51.81,56.47,25.1
Rio Preto,MG,71.16,72.56,25.1
Senador Firmino,MG,66.34,68.56,25.1
Doresópolis,MG,38.46,44.9,25.0
Mato Queimado,RS,88.24,80.0,25.0
Senador Pompeu,CE,100.0,80.0,25.0
Puxinanã,PB,75.57,76.24,25.0
Lajedo,PE,47.71,52.98,25.0
Extrema,MG,57.68,61.38,25.0
Alto Paraguai,MT,70.64,69.57,25.0
Terezinha,PE,68.26,70.15,25.0
Peixe,TO,46.47,51.92,24.9
Wenceslau Braz,MG,48.66,53.79,24.8
Além Paraíba,MG,68.94,70.71,24.8
Itapetim,PE,65.28,67.68,24.8
Glória do Goitá,PE,70.58,72.07,24.8
Manoel Emídio,PI,100.0,80.0,24.7
Dueré,TO,34.95,41.72,24.7
Juranda,PR,59.77,63.12,24.7
Butiá,RS,59.53,55.99,24.7
Conselheiro Lafaiete,MG,68.74,67.43,24.6
Francisco Macedo,PI,59.38,62.8,24.6
Barreiros,PE,61.78,64.79,24.6
Japurá,PR,73.42,74.44,24.6
Ouro Branco,MG,65.37,67.76,24.6
São Nicolau,RS,65.79,61.56,24.6
Jericó,PB,53.45,57.85,24.5
Luziânia,GO,64.05,66.66,24.5
Coribe,BA,47.33,52.66,24.4
Olho D'Água do Piauí,PI,62.5,65.38,24.4
Santa Filomena,PE,58.92,62.41,24.4
Conde,BA,40.59,46.79,24.4
Lagoa Alegre,PI,21.65,28.81,24.4
Rio Vermelho,MG,54.91,49.66,24.4
Buíque,PE,52.54,57.08,24.4
Nortelândia,MT,47.48,52.79,24.3
Pindorama do Tocantins,TO,47.41,52.73,24.3
Rosana,SP,70.24,62.92,24.3
Miracema do Tocantins,TO,41.54,47.63,24.3
Rosário do Ivaí,PR,69.4,71.09,24.2
Mutum,MG,73.21,64.53,24.2
Sertaneja,PR,92.04,80.0,24.2
Porto da Folha,SE,25.59,30.74,24.2
Camanducaia,MG,54.64,58.85,24.2
Itambé,BA,22.21,29.39,24.1
Itamarati de Minas,MG,48.03,53.26,24.1
Jaguaraçu,MG,62.35,65.26,24.1
Mirinzal,MA,91.54,80.0,24.1
Jacinto,MG,45.37,50.97,24.1
Saldanha Marinho,RS,62.74,48.79,24.1
Caldas,MG,51.38,56.1,24.0
Bias Fortes,MG,68.75,70.55,24.0
Jacuí,MG,70.85,72.3,24.0
Uberaba,MG,49.76,51.32,23.9
Paço do Lumiar,MA,50.71,55.54,23.8
Delta,MG,50.98,55.77,23.8
Costa Rica,MS,38.85,45.24,23.8
Felisburgo,MG,52.21,56.8,23.8
Nova Canaã do Norte,MT,57.37,60.45,23.7
Monte Alegre do Piauí,PI,67.16,69.24,23.7
Sapopema,PR,73.32,74.36,23.7
Paula Cândido,MG,58.26,58.13,23.7
Arapuã,PR,54.39,58.64,23.6
Icaraíma,PR,73.26,74.31,23.6
Aguanil,MG,100.0,80.0,23.6
Guairaçá,PR,72.56,73.72,23.6
Marcelândia,MT,62.31,65.23,23.6
Exu,PE,56.65,60.53,23.5
Anapurus,MA,91.05,80.0,23.5
Lavras da Mangabeira,CE,75.38,76.08,23.5
Vieiras,MG,50.44,55.31,23.5
Córrego Fundo,MG,69.55,71.22,23.5
Campo Belo,MG,69.49,71.17,23.5
Jequitinhonha,MG,54.11,49.76,23.5
Jangada,MT,59.21,59.89,23.5
Luís Gomes,RN,32.17,33.44,23.4
Venha-Ver,RN,41.18,47.31,23.4
Dionísio Cerqueira,SC,59.86,63.02,23.4
Rondonópolis,MT,52.75,57.26,23.4
Araioses,MA,56.23,60.17,23.4
Ibirité,MG,52.62,56.29,23.4
Afogados da Ingazeira,PE,66.59,68.77,23.4
Ferros,MG,86.46,44.57,23.3
Maribondo,AL,46.59,52.02,23.3
Felipe Guerra,RN,54.36,58.61,23.3
Buenos Aires,PE,62.99,65.79,23.2
Catende,PE,44.6,50.3,23.2
Prado Ferreira,PR,76.64,77.14,23.2
Inhapim,MG,68.56,70.4,23.2
Pacoti,CE,88.89,80.0,23.1
Santa Helena de Minas,MG,72.53,62.75,23.1
Bocaina do Sul,SC,39.12,45.49,23.1
Guapé,MG,58.55,62.11,23.1
Maturéia,PB,50.64,55.48,23.1
Alto Paraíso,RO,61.53,64.58,23.0
Lamarão,BA,22.24,29.42,23.0
Paratinga,BA,21.13,28.27,23.0
Tacuru,MS,51.61,56.3,23.0
Campo Grande do Piauí,PI,85.6,80.0,23.0
Engenheiro Navarro,MG,44.66,50.36,22.9
Pedra Azul,MG,57.01,60.83,22.9
Araguacema,TO,38.62,45.04,22.9
Madre de Deus de Minas,MG,69.45,71.14,22.9
Poços de Caldas,MG,58.12,61.73,22.9
Bocaiúva,MG,72.96,70.61,22.9
Itapagé,CE,90.68,80.0,22.8
Lagoa dos Gatos,PE,70.94,72.37,22.8
Diamante,PB,25.0,32.22,22.8
Água Preta,PE,61.14,64.26,22.7
Coromandel,MG,63.08,47.93,22.7
Governador Eugênio Barros,MA,52.89,57.38,22.7
Várzea da Palma,MG,61.71,64.73,22.7
Orizânia,MG,62.75,65.59,22.6
Nova Resende,MG,69.3,71.01,22.6
Salinópolis,PA,43.26,49.14,22.6
Nacip Raydan,MG,58.67,62.21,22.6
Jataizinho,PR,62.4,65.3,22.6
Santo André,SP,54.02,57.33,22.6
Ibaiti,PR,72.88,73.99,22.6
São Francisco do Piauí,PI,58.13,61.76,22.6
Barras,PI,55.68,59.72,22.5
Limeira do Oeste,MG,65.19,67.61,22.5
Ibimirim,PE,52.35,55.58,22.5
Carangola,MG,45.27,55.64,22.5
Correntes,PE,51.81,56.47,22.5
Irecê,BA,42.02,48.05,22.5
Antônio Almeida,PI,95.63,80.0,22.5
Ribeirão,PE,61.57,64.61,22.5
São Tiago,MG,92.29,80.0,22.4
Bugre,MG,100.0,80.0,22.4
Varginha,MG,50.68,55.51,22.4
Petrolândia,PE,51.87,56.52,22.4
Santa Inês,MA,47.95,52.49,22.4
Santo Afonso,MT,47.62,56.69,22.4
Capivari do Sul,RS,41.25,47.38,22.4
Rosário Oeste,MT,53.65,58.02,22.3
Berizal,MG,68.3,70.18,22.3
Rolândia,PR,73.4,74.42,22.2
São Gabriel do Oeste,MS,52.66,56.9,22.2
Rio dos Bois,TO,17.52,24.42,22.2
Irati,SC,92.86,80.0,22.2
Campo Largo do Piauí,PI,17.66,24.57,22.1
Água Doce do Maranhão,MA,67.29,69.35,22.1
Caiçara do Rio do Vento,RN,59.21,44.52,22.1
Betânia do Piauí,PI,42.53,48.5,22.1
Belterra,PA,60.62,63.83,22.1
Irupi,ES,67.41,69.44,22.0
Santa Teresinha,PB,40.43,46.65,22.0
Campo do Meio,MG,67.54,69.55,21.9
Carmópolis,SE,24.85,32.07,21.9
Ipuiúna,MG,52.86,57.35,21.9
Porto Grande,AP,64.87,67.62,21.9
Araguapaz,GO,43.29,49.16,21.9
Cajari,MA,53.27,57.7,21.9
São Gonçalo do Amarante,CE,81.99,80.0,21.9
Iguaraci,PE,72.59,73.75,21.9
Carmolândia,TO,25.12,32.34,21.9
Benedito Leite,MA,56.0,59.98,21.9
Lapão,BA,25.08,32.3,21.8
Olho d'Água das Cunhãs,MA,53.93,58.25,21.8
Campos Altos,MG,58.27,61.87,21.8
Jardim do Mulato,PI,58.33,61.92,21.8
Canindé de São Francisco,SE,22.69,29.89,21.7
Belém do São Francisco,PE,51.55,56.25,21.6
Coxixola,PB,75.0,75.76,21.6
Novo Gama,GO,52.29,56.87,21.6
Areia Branca,RN,49.53,56.82,21.6
Nonoai,RS,54.7,48.14,21.6
Igarapé,MG,51.87,56.52,21.6
Anguera,BA,38.74,45.15,21.6
Corumbaíba,GO,71.44,72.79,21.6
Jupi,PE,60.68,63.87,21.6
Timóteo,MG,68.55,59.91,21.6
Ariquemes,RO,62.3,65.22,21.6
Aquiraz,CE,87.89,80.0,21.5
Capelinha,MG,70.01,60.28,21.5
Ibiracatu,MG,74.14,66.87,21.5
Salto do Céu,MT,88.32,80.0,21.5
Monteirópolis,AL,35.28,42.02,21.4
Aroazes,PI,57.69,61.39,21.4
Machadinho D'Oeste,RO,51.4,56.12,21.4
Carvalhópolis,MG,76.96,77.41,21.4
Campanário,MG,61.46,64.52,21.4
Bacabeira,MA,51.49,56.2,21.4
Presidente Bernardes,MG,69.97,60.93,21.3
Novo Oriente,CE,98.75,80.0,21.3
Nova Ubiratã,MT,73.23,74.28,21.3
Muzambinho,MG,43.36,49.23,21.3
Carmo da Cachoeira,MG,74.34,75.21,21.2
Propriá,SE,25.97,26.71,21.2
Guaratinga,BA,22.69,29.89,21.2
Corumbiara,RO,58.2,61.82,21.2
Baraúna,PB,59.36,62.78,21.2
Aurora,CE,72.85,73.96,21.1
Pompéu,MG,69.14,67.62,21.1
Piracema,MG,66.97,69.08,21.1
Biritinga,BA,22.22,29.4,21.1
Felixlândia,MG,54.14,56.65,21.0
Bananeiras,PB,51.04,55.82,21.0
Esperantinópolis,MA,59.36,62.78,21.0
Moita Bonita,SE,43.16,49.05,20.9
Serranópolis,GO,54.47,58.7,20.8
Paes Landim,PI,51.76,56.42,20.8
Alexandria,RN,17.76,24.68,20.8
Montes Altos,MA,71.31,72.68,20.8
Floresta Azul,BA,15.12,21.74,20.7
Tocantínia,TO,42.96,48.88,20.7
Ponte Alta do Tocantins,TO,47.6,52.89,20.7
Braga,RS,50.59,46.27,20.7
Porto do Mangue,RN,58.35,61.94,20.7
Monção,MA,51.98,56.61,20.7
Bossoroca,RS,61.11,54.93,20.6
Chã de Alegria,PE,62.99,65.79,20.6
Cambuí,MG,65.17,67.59,20.6
Angelândia,MG,59.72,63.08,20.5
Nova Itaberaba,SC,67.4,69.44,20.5
Redenção,CE,84.99,80.0,20.5
Carnaíba,PE,91.81,80.0,20.5
João Câmara,RN,22.55,29.74,20.4
Macau,RN,30.68,34.46,20.4
Currais,PI,93.16,80.0,20.3
Santana do Cariri,CE,89.48,80.0,20.3
Calçoene,AP,35.34,41.81,20.3
Juti,MS,22.63,29.82,20.3
Bom Sucesso,MG,67.28,69.34,20.3
Tauá,CE,87.18,80.0,20.3
Teófilo Otoni,MG,52.62,55.57,20.2
Oliveira,MG,67.19,54.71,20.2
Saloá,PE,58.09,61.72,20.1
Vargem Grande do Rio Pardo,MG,61.64,64.67,20.1
Campestre do Maranhão,MA,64.72,67.22,20.1
Gararu,SE,19.42,26.47,20.0
Buritis,MG,51.37,56.75,20.0
Águas Vermelhas,MG,42.77,48.71,20.0
Carneirinho,MG,52.21,56.8,19.9
Jucás,CE,86.69,80.0,19.9
Icaraí de Minas,MG,53.69,58.3,19.9
Figueirópolis,TO,62.36,65.27,19.8
São Miguel da Baixa Grande,PI,24.14,31.36,19.8
Pedro Velho,RN,22.71,23.8,19.8
Pedra Branca do Amapari,AP,66.25,68.48,19.8
Santana do Paraíso,MG,69.78,71.41,19.8
Pindoretama,CE,90.29,80.0,19.7
Atalaia,PR,91.91,80.0,19.7
Itamari,BA,59.67,63.04,19.7
Santana do Deserto,MG,58.32,61.92,19.7
Boquim,SE,26.09,29.96,19.7
Sooretama,ES,67.21,69.28,19.7
Saubara,BA,43.18,49.07,19.6
Bonito de Minas,MG,66.95,66.87,19.6
Porto Velho,RO,64.47,67.5,19.6
Patis,MG,82.27,77.38,19.6
Dores de Guanhães,MG,42.55,48.52,19.6
Água Branca,PI,90.64,80.0,19.6
Conceição das Alagoas,MG,55.38,59.46,19.5
Lagoa do Tocantins,TO,20.75,27.88,19.5
Quatro Pontes,PR,91.8,80.0,19.5
Matias Olímpio,PI,24.43,31.65,19.5
Esperantina,PI,56.99,60.81,19.5
Manga,MG,37.08,31.24,19.5
Belém,PB,56.8,60.65,19.4
Lagoa Seca,PB,66.54,68.72,19.4
Itaguaçu da Bahia,BA,20.89,28.02,19.4
Campina Verde,MG,77.26,77.67,19.3
Santa Bárbara do Tugúrio,MG,50.6,55.44,19.3
Ourinhos,SP,50.8,55.25,19.3
Vitória do Xingu,PA,60.62,63.83,19.3
Cachoeira Grande,MA,41.14,47.28,19.3
Várzea,RN,17.25,24.12,19.2
Guaraíta,GO,72.59,73.75,19.2
Apiacás,MT,58.01,53.82,19.2
Ipameri,GO,64.1,66.71,19.2
Santa Cecília,SC,66.38,68.59,19.2
Silveirânia,MG,91.67,80.0,19.1
Ilha das Flores,SE,27.78,34.17,19.1
Carlinda,MT,45.9,48.49,19.1
Itaubal,AP,55.75,55.34,19.1
Cabixi,RO,69.1,70.85,19.1
Minduri,MG,51.89,56.53,19.1
Pinheiro Preto,SC,59.28,62.71,19.0
Pau D'Arco do Piauí,PI,100.0,80.0,19.0
São João das Missões,MG,64.64,47.08,19.0
Praia Norte,TO,18.07,25.02,19.0
Orós,CE,90.9,80.0,18.9
Manoel Viana,RS,60.8,35.72,18.9
Capinzal do Norte,MA,35.67,42.37,18.9
Petrolina de Goiás,GO,59.28,62.71,18.9
Santa Terezinha do Tocantins,TO,56.06,60.03,18.9
Quixadá,CE,88.36,80.0,18.9
Veranópolis,RS,77.14,77.57,18.9
Barra do Bugres,MT,50.91,55.71,18.8
